~id,~label,customer_id,name,phone_number,email,merchant_category,fraud_flag:Boolean
CTPTM3FBPH,Person,CTPTM3FBPH,Sunil Das,9.20E+11,sunil.das@hotmail.com,,FALSE
0JGSHIJDFD,Person,0JGSHIJDFD,Priya Menon,9.17E+11,priya.menon@hotmail.com,,FALSE
3126CAAR0Q,Person,3126CAAR0Q,Rajesh Kumar,9.20E+11,rajesh.kumar@hotmail.com,,TRUE
FT62OVDUJV,Merchant,FT62OVDUJV,Wei Zhang,9.16E+11,wei.zhang@shop.com,Electronics,FALSE
FGNODWO6BO,Merchant,FGNODWO6BO,Wei Zhang,9.19E+11,wei.zhang@store.in,Electronics,FALSE
AYUVKIC7IA,Person,AYUVKIC7IA,Kavita Nair,9.17E+11,kavita.nair@yahoo.com,,FALSE
2R3SNXILST,Person,2R3SNXILST,Sunil Das,9.17E+11,priya.menon@outlook.com,,FALSE
K5VKUL49F5,Merchant,K5VKUL49F5,Rohit Verma,9.20E+11,rohit.verma@shop.com,Entertainment,FALSE
XHKZ94J7SF,Merchant,XHKZ94J7SF,Wei Zhang,9.18E+11,wei.zhang@shop.com,Electronics,TRUE
5EUAIKATHW,Person,5EUAIKATHW,Priya Menon,9.19E+11,priya.menon@outlook.com,,TRUE
WQFJALTLIV,Person,WQFJALTLIV,Priya Menon,9.17E+11,priya.menon@gmail.com,,FALSE
IBSI743RLX,Person,IBSI743RLX,Amitabh Sharma,9.19E+11,amitabh.sharma@yahoo.com,,FALSE
4A78XVGOIF,Person,4A78XVGOIF,Sunil Das,9.18E+11,sunil.das@outlook.com,,TRUE
MZ9O6VEYP8,Person,MZ9O6VEYP8,Amitabh Sharma,9.17E+11,amitabh.sharma@outlook.com,,FALSE
0LPJS733QC,Person,0LPJS733QC,Rajesh Kumar,9.20E+11,rajesh.kumar@hotmail.com,,FALSE
Z7NJNFCRD2,Merchant,Z7NJNFCRD2,Sakura Tanaka,9.16E+11,sakura.tanaka@shop.com,Entertainment,TRUE
8HSSGO1ZAK,Person,8HSSGO1ZAK,Priya Menon,9.17E+11,sunil.das@hotmail.com,,FALSE
Y0NALH82DY,Person,Y0NALH82DY,Rajesh Kumar,9.19E+11,rajesh.kumar@gmail.com,,FALSE
YYQM0WYUEC,Person,YYQM0WYUEC,Priya Menon,9.17E+11,sunil.das@hotmail.com,,FALSE
VP6JZ7NS2N,Person,VP6JZ7NS2N,Rajesh Kumar,9.19E+11,rajesh.kumar@hotmail.com,,FALSE
8565QRB96S,Person,8565QRB96S,Rajesh Kumar,9.20E+11,rajesh.kumar@outlook.com,,FALSE
JG0YIQ8SSR,Merchant,JG0YIQ8SSR,Rohit Verma,9.20E+11,rohit.verma@business.cn,Food & Beverage,FALSE
CQE72NZMJL,Person,CQE72NZMJL,Rajesh Kumar,9.18E+11,rajesh.kumar@gmail.com,,FALSE
HL2HRWB9EV,Person,HL2HRWB9EV,Rajesh Kumar,9.16E+11,rajesh.kumar@outlook.com,,FALSE
I5UXCEV8LG,Merchant,I5UXCEV8LG,Sakura Tanaka,9.20E+11,sakura.tanaka@shop.com,Entertainment,FALSE
OGQ8RBO7KO,Person,OGQ8RBO7KO,Priya Menon,9.20E+11,priya.menon@gmail.com,,TRUE
IHHHP31Y6E,Person,IHHHP31Y6E,Rajesh Kumar,9.16E+11,rajesh.kumar@yahoo.com,,FALSE
RRZ4G78NHW,Merchant,RRZ4G78NHW,Nobita Matsui,9.19E+11,nobita.matsui@store.in,Apparel,FALSE
EHUHFS2UB3,Merchant,EHUHFS2UB3,Wei Zhang,9.18E+11,wei.zhang@store.in,Electronics,FALSE
ADO7BIZZ5N,Person,ADO7BIZZ5N,Sunil Das,9.17E+11,sunil.das@yahoo.com,,FALSE
WTSNO6JP8C,Person,WTSNO6JP8C,Priya Menon,9.17E+11,priya.menon@outlook.com,,FALSE
O923APQT2E,Person,O923APQT2E,Kavita Nair,9.18E+11,kavita.nair@yahoo.com,,FALSE
IHB68AUFMI,Person,IHB68AUFMI,Kavita Nair,9.17E+11,kavita.nair@gmail.com,,FALSE
FJ9QOQ55CA,Person,FJ9QOQ55CA,Rajesh Kumar,9.16E+11,rajesh.kumar@hotmail.com,,FALSE
C8RZ3QEY9E,Person,C8RZ3QEY9E,Kavita Nair,9.18E+11,kavita.nair@hotmail.com,,FALSE
7FD76VJSC1,Merchant,7FD76VJSC1,Rohit Verma,9.17E+11,rohit.verma@enterprise.jp,Retail,FALSE
GN02GZV81Z,Merchant,GN02GZV81Z,Nobita Matsui,9.19E+11,nobita.matsui@enterprise.jp,Electronics,FALSE
N5FTP4383Z,Person,N5FTP4383Z,Sunil Das,9.17E+11,sunil.das@hotmail.com,,FALSE
G1INSL6E47,Merchant,G1INSL6E47,Mei Lin,9.17E+11,amitabh.sharma@hotmail.com,Entertainment,FALSE
ATZLN3HG1G,Person,ATZLN3HG1G,Sunil Das,9.18E+11,sunil.das@hotmail.com,,TRUE
WKFLW4EFWR,Person,WKFLW4EFWR,Rajesh Kumar,9.20E+11,rajesh.kumar@gmail.com,,FALSE
RBS0VUD5U3,Merchant,RBS0VUD5U3,Wei Zhang,9.19E+11,wei.zhang@shop.com,Apparel,TRUE
OM2A1C7ZD7,Merchant,OM2A1C7ZD7,Rohit Verma,9.17E+11,rohit.verma@business.cn,Retail,FALSE
0C78EW4S1E,Person,0C78EW4S1E,Kavita Nair,9.17E+11,priya.menon@outlook.com,,FALSE
D8ESKRU8Y1,Person,D8ESKRU8Y1,Priya Menon,9.18E+11,priya.menon@outlook.com,,FALSE
NGGTHMJXUG,Person,NGGTHMJXUG,Priya Menon,9.20E+11,priya.menon@yahoo.com,,FALSE
95CJ7L1WD1,Person,95CJ7L1WD1,Amitabh Sharma,9.18E+11,priya.menon@outlook.com,,FALSE
MLKSVH0BDT,Merchant,MLKSVH0BDT,Wei Zhang,9.16E+11,wei.zhang@enterprise.jp,Electronics,FALSE
R321IUUSYI,Person,R321IUUSYI,Kavita Nair,9.17E+11,kavita.nair@outlook.com,,FALSE
CB0UF6ZWYY,Person,CB0UF6ZWYY,Amitabh Sharma,9.20E+11,amitabh.sharma@gmail.com,,FALSE
X5U5JNL239,Person,X5U5JNL239,Priya Menon,9.18E+11,priya.menon@gmail.com,,FALSE
2O6HHJ97FW,Person,2O6HHJ97FW,Amitabh Sharma,9.16E+11,amitabh.sharma@gmail.com,,FALSE
2RQPTNJXGW,Merchant,2RQPTNJXGW,Mei Lin,9.18E+11,mei.lin@enterprise.jp,Entertainment,FALSE
377HUVCL5K,Person,377HUVCL5K,Priya Menon,9.20E+11,priya.menon@gmail.com,,FALSE
POY81DJDU4,Merchant,POY81DJDU4,Wei Zhang,9.17E+11,priya.menon@outlook.com,Entertainment,FALSE
KWXCN54DLU,Person,KWXCN54DLU,Rajesh Kumar,9.17E+11,rajesh.kumar@hotmail.com,,TRUE
FNORNM89ZV,Person,FNORNM89ZV,Amitabh Sharma,9.17E+11,sunil.das@hotmail.com,,FALSE
8URGZQ30PS,Merchant,8URGZQ30PS,Rohit Verma,9.16E+11,rohit.verma@store.in,Apparel,FALSE
FNP5IKMPI4,Person,FNP5IKMPI4,Sunil Das,9.16E+11,priya.menon@outlook.com,,FALSE
7SCSU39LMR,Person,7SCSU39LMR,Sunil Das,9.18E+11,sunil.das@outlook.com,,FALSE
6MBTFUAUWM,Merchant,6MBTFUAUWM,Wei Zhang,9.18E+11,wei.zhang@business.cn,Food & Beverage,FALSE
XTN5KRUFZP,Person,XTN5KRUFZP,Priya Menon,9.19E+11,priya.menon@outlook.com,,FALSE
U6VL0H3I10,Person,U6VL0H3I10,Kavita Nair,9.17E+11,kavita.nair@hotmail.com,,FALSE
GDSD32B1JS,Merchant,GDSD32B1JS,Sakura Tanaka,9.20E+11,priya.menon@outlook.com,Electronics,FALSE
LBKZS94X5S,Merchant,LBKZS94X5S,Nobita Matsui,9.17E+11,nobita.matsui@shop.com,Electronics,FALSE
X2QOIC2WJK,Person,X2QOIC2WJK,Priya Menon,9.18E+11,amitabh.sharma@hotmail.com,,TRUE
4N5NRQGNAZ,Merchant,4N5NRQGNAZ,Wei Zhang,9.18E+11,wei.zhang@business.cn,Electronics,FALSE
BNM2U54F8R,Person,BNM2U54F8R,Priya Menon,9.18E+11,priya.menon@outlook.com,,FALSE
KO2NEX0ME8,Person,KO2NEX0ME8,Kavita Nair,9.18E+11,priya.menon@outlook.com,,FALSE
11JMTJBGEJ,Person,11JMTJBGEJ,Priya Menon,9.16E+11,priya.menon@outlook.com,,FALSE
10JULVYHIO,Merchant,10JULVYHIO,Sakura Tanaka,9.19E+11,sakura.tanaka@store.in,Apparel,FALSE
TK9GQCHFA0,Person,TK9GQCHFA0,Amitabh Sharma,9.17E+11,amitabh.sharma@yahoo.com,,FALSE
AU7QTUSVZC,Person,AU7QTUSVZC,Rajesh Kumar,9.18E+11,amitabh.sharma@hotmail.com,,FALSE
PUC18KDCCM,Person,PUC18KDCCM,Priya Menon,9.18E+11,amitabh.sharma@hotmail.com,,FALSE
BLZI9IWM3P,Person,BLZI9IWM3P,Amitabh Sharma,9.17E+11,amitabh.sharma@hotmail.com,,FALSE
7JL6NC33HJ,Person,7JL6NC33HJ,Kavita Nair,9.18E+11,kavita.nair@outlook.com,,FALSE
EBGKIYMOBD,Merchant,EBGKIYMOBD,Mei Lin,9.19E+11,mei.lin@shop.com,Entertainment,FALSE
0HV9PJP65I,Merchant,0HV9PJP65I,Mei Lin,9.17E+11,mei.lin@shop.com,Entertainment,FALSE
3LD94XNHBJ,Person,3LD94XNHBJ,Rajesh Kumar,9.19E+11,rajesh.kumar@gmail.com,,FALSE
FUUO9JKDQP,Merchant,FUUO9JKDQP,Sakura Tanaka,9.17E+11,sakura.tanaka@business.cn,Electronics,FALSE
EJJGL9VR3Q,Merchant,EJJGL9VR3Q,Nobita Matsui,9.18E+11,nobita.matsui@business.cn,Entertainment,FALSE
IN9FP0A875,Person,IN9FP0A875,Priya Menon,9.19E+11,priya.menon@gmail.com,,FALSE
0CTDUUVBUC,Merchant,0CTDUUVBUC,Sakura Tanaka,9.19E+11,amitabh.sharma@hotmail.com,Entertainment,FALSE
MTA71BJBGS,Merchant,MTA71BJBGS,Sakura Tanaka,9.17E+11,sakura.tanaka@enterprise.jp,Electronics,FALSE
